Name,UUID,ThatId,S,r,R,g,G,m,M,P,d,D,n,N
Mishra tilang,55ae6165-fd05-4fa3-8762-3c99fcca66e3,0,0,0,0,0,0,0,0,0,0,0,0,0
Miya malhar,1b05a564-059f-445b-b325-cf26318367e3,0,0,0,0,0,0,0,0,0,0,0,0,0
Miyan ki sarang,0bfd3d74-10b9-4b15-96e9-f751c7907244,0,0,0,0,0,0,0,0,0,0,0,0,0
Miyan ki todi,47e46401-c944-4d50-85ba-2783bd587f6e,0,0,0,0,0,0,0,0,0,0,0,0,0
Multani,d3be1a2a-ad82-495b-b738-b5e3dd664a0c,10,1,0.5,0,0.5,0,0,1,1,0.5,0,0,1
Nagad,3a1f7310-4842-46cc-a254-6075be15f3c0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naiki kanada,975ad6a0-cf15-4109-9289-c88d07b9429b,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanad,a3f2513c-37ac-4148-b3b8-712d45c74b79,0,0,0,0,0,0,0,0,0,0,0,0,0
Nat bhairav,9571385f-2743-41a1-9c6d-3db0545a6773,4,1,0,1,0,1,0.5,0,1,0.5,0,0,1
Nat bihag,3b32032b-1548-4e87-9541-4ad13c5ccdb5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nat malhar,9590981c-79ce-4499-bd03-ea88621dbd6e,0,0,0,0,0,0,0,0,0,0,0,0,0
Nat narayan,a919c7ac-fec2-4102-ab29-01d212ba8a3e,0,0,0,0,0,0,0,0,0,0,0,0,0
Nayaki kanada,9c75535f-452c-44de-a543-beeb7aefcc2c,0,0,0,0,0,0,0,0,0,0,0,0,0
Nilambari,e49d53cb-3378-4074-bdc5-0c17b672f5e1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pahadi,bafb1d3a-0fff-4fba-bc2e-f9ba766b2e33,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancham,109d438b-8400-4246-bc0f-d02f280dd526,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraj,d0edf94d-8c79-4bb9-b947-04fd37c0bdbe,0,0,0,0,0,0,0,0,0,0,0,0,0
Patdeep,ac5c462b-78d4-4187-a512-6d8f3501b3db,0,0,0,0,0,0,0,0,0,0,0,0,0
Patmanjari,84488ca3-b7ff-454f-90dc-5d720c0ce7ea,0,0,0,0,0,0,0,0,0,0,0,0,0
